"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","dem1","dem2","p"
1,0.0296563924859194,0.082142009786874,0.00965057910474212,0.0234417891316527,0.0273841576848639,0.0208644499705089,0.00226436347770102,0.00613782580130825,0.0152290753458951,0.0131420938481862,-624.06297541465
2,0.00648446006617755,0.0348260685686027,0.00559642773809584,0.0369141071848838,0.0353961592205511,0.0149139670117109,0.000504920398869583,0.00670581762995193,0.020118634489998,0.00975311129348746,-606.331488182969
3,0.0254027053028109,0.0216821371029675,0.000784757038221938,0.0113827356064507,0.0360138169005612,0.0467666364362964,0.000575905927592475,0.0510008566727159,0.0240385426057076,0.0196821946633335,-606.481363631532
4,0.0293442849542962,0.0149298032317221,0.00238535431672195,0.00937030992795283,0.0333704993430252,0.0548784866398519,0.000781300866194021,0.0369808038191045,0.0135474397499798,0.016372690243773,-602.221783186925
5,0.0275729524241548,0.0252333788622904,0.000425873184850836,0.00506179243241229,0.0325058402204137,0.0502475113456953,0.000946828222774679,0.0339466602666041,0.0128377053103107,0.0242050422764273,-603.998871759401
6,0.0275664439238431,0.0195034480774914,0.0137005507061771,0.0111258936444721,0.0371824016175002,0.0612342069482443,0.000699170049552196,0.0291845471681003,0.0163566900779277,0.0111531049621199,-602.921444579962
7,0.0340354716239627,0.0103880237451526,0.00416558449056575,0.0101260059564757,0.0340044977785324,3.59908202843155e-05,0.000482050059825456,0.0160285796723864,0.0140602224248235,0.0410191685520517,-599.680809303055
8,0.0312786763438688,0.0171862867556151,0.00510798963275047,0.00515980084491915,0.0326299669306737,0.0105783219378305,0.000117765444400493,0.0111132321516338,0.00934170990910348,0.0167335683198739,-598.228652807721
9,0.0347075829213101,0.015178087238839,0.0193073890997739,0.0170242878560172,0.0471689297246649,0.0053176892423864,0.00036065693249344,0.0297104120663722,0.0126575726870741,0.0143802399149612,-601.309140925333
10,0.0381371342091927,0.0136919743281882,0.0138829654545955,0.0531734223505547,0.0453308363948527,0.00342019247476623,0.000180020372405058,0.0391567270377665,0.0153658338301332,0.0248079644676461,-603.95491241606
11,0.0347819528542906,0.0222704531120874,0.0154514543279571,0.018777977314199,0.0419136079505613,0.00971658562606018,0.000138892088658456,0.0365376295732354,0.0118723864836247,0.0171007788807217,-600.65309537803
12,0.0395369101970155,0.0141731416878618,0.0270880632296951,0.011951056503515,0.0299015908268833,0.0403970650604131,0.000314304606879139,0.0500263085633203,0.0114178346299926,0.0096470931749085,-603.997794582618
13,0.0355097088281961,0.0141507727547801,0.0781809950421317,0.0108622646570031,0.0407357072202248,0.0395333972094957,0.000883119330364034,0.041692147347253,0.0174117100294298,0.00396634984580359,-606.280802478683
14,0.027287422784302,0.0157303513229271,0.0153270842346131,0.0047184682407917,0.033839504487565,0.020816670044664,0.00129430558413597,0.058249211065373,0.0101881300688075,0.0019780683569128,-602.607475133602
15,0.0295042555079953,0.0177612113922622,0.00671456323596409,0.00604179450115423,0.0374438109480196,0.0022170128966834,0.00012347305360083,0.0329122320263487,0.0211361479711749,0.00279596226680249,-599.283577455418
