"fusion","fission","wgd","demi"
0.376160853024191,0.402849291796281,0.10533006289022,0.0124071134101553
0.332926494597725,0.368231154510463,0.0349774708588786,0.00511945616922439
0.256285563357635,0.224396474227359,0.0851740984679402,-0.0147197154423013
0.151909815746095,0.175834343999222,0.0695623151394435,0.0281761901043325
0.103749896603347,-0.0242037090069733,0.0633696274863276,0.0675133359838141
0.0777267640549719,-0.0122801097741458,0.0512492645669438,0.0652112057135453
0.0630207771361219,0.0424951775936026,0.0589024688101667,0.0169412593780054
0.0764883567199978,0.0523215260404607,0.0662572536362273,0.0340773453529066
0.0816563296752347,0.0137333324141761,0.0659442595501696,0.0399070765312652
0.0782561341429233,0.0172259743336271,0.0416649528453553,0.0627594418060309
0.0687644402685664,0.0171144591787819,0.0335791786180063,0.0366889606559719
0.0910346901249838,0.0394947319705605,0.0359911858376615,0.0353534010043149
0.0562427493401607,0.0282338882317529,0.0203770128685841,0.0571893906388807
0.0731298631921442,-0.0184937587288436,0.0447296919895714,0.0552325734320322
0.0571019505151544,0.00418430386374581,0.0581687175193844,0.0534329708296065
0.0869588291025951,0.0260771314013473,0.0407139546483483,0.0396494524459852
0.092550284965983,0.0235107945484604,0.0450725198611322,0.0489564381841485
0.068754662754607,0.0227399582581269,0.0325931435168664,0.0630394514627394
0.0645467189190497,0.026907711022859,0.0464272951428443,0.0408244573429921
0.0955177167121716,0.0200958283463776,0.0354219694593474,0.0309889719895196
0.0744777822813311,0.0322209638214841,0.0669713233326194,0.0193862774403726
0.0806472505259633,0.0293970874697709,0.0339246039752665,0.0480974138675165
0.092414819813155,0.0232002799962785,0.0518753581013561,0.0575301131640936
0.0654171762148336,0.0169789989459776,0.0645828816220707,0.0560873155711186
0.109142620581847,0.00828901890287649,0.035016902582242,0.0389844332251252
0.0894685210614306,0.00276144090381078,0.0428815710259291,0.0350293753207837
0.0995074549095501,0.0259063998488189,0.049658186795464,0.0177026533602035
0.0926796638601891,0.00923632386582043,0.0591489609908483,0.0392499753162333
0.0498742191307159,0.00379705180574553,0.0599845582853468,0.0249186103303362
0.0505329014355567,0.0538912082460591,0.03777373952545,0.0153435925240567
0.0749876690246621,0.0175682301242339,0.0517106076094128,0.0392432183181943
0.0647390589535934,0.00390967034522785,0.0307852642806454,0.0446954803365346
0.0549920859187668,0.0118366992454338,0.0421158668226324,0.0139855907021884
0.125030657101803,0.0038072597747177,0.0264570320669104,0.0221512901121606
0.11495853114755,-0.00116183437009695,0.0403322233408562,0.0100510986160553
0.100339068705703,0.00866020495377295,0.0407865100963915,0.0513739912017798
0.104916012546046,0.0085628388747623,0.0499354146447641,0.065805743600106
0.0861250185720502,0.0259644461969236,0.0423438585816397,0.049322989128936
0.0805386479461652,-0.000999359675210899,0.0393963835351491,0.0626347877922617
0.0840466531586683,-0.00895335789162854,0.0590344055517247,0.0652476855384911
0.05378032762778,-0.0150856590498568,0.0434383527903543,0.049347463459625
0.0558455418061631,0.0011356652651341,0.0322644610232441,0.0417202063272525
0.0565577183843081,0.0462445155940955,0.0373300288459166,0.0354740522739679
0.099648656210999,0.0441533956237046,0.056719370196933,0.0540453962079976
0.0730369031335209,0.0408577385778016,0.0577442129921988,0.0579965955547585
0.0509157019644143,0.0201348146330345,0.0222024260330427,0.0362263193398861
0.0678104667791962,0.0267580147995215,0.0379621203777903,0.0439438098521939
0.06327577411234,0.0376767919255708,0.04009273534893,0.0442471673657399
0.0654361305127869,0.0141271229023672,0.0317557759589396,0.0494563396851202
0.0910974232822983,0.0178758227765763,0.0367607746504486,0.0460608130589086
0.098717484312538,0.0146539350582287,0.0226099986891856,0.0428018720060279
0.0986373374588021,0.0206274929784847,0.0396383128342366,0.0525897682902485
0.101165035385283,0.0181261036020906,0.0382721358938168,0.0610170300465242
0.0846630358133107,0.0108473934668366,0.039863540236433,0.0444666464528234
0.07478353128101,0.0162753750121582,0.0627337371521037,0.0308815464183973
0.0891866921008844,0.0392717678983786,0.0725132829048594,0.0493950245737934
0.0951993256534158,0.00829594351709644,0.0558380645429984,0.0627209875950941
0.0641275373462333,0.030033732378939,0.0688325521572978,0.0741002370541163
0.0475730306690478,0.0401601743095411,0.0417984637198379,0.0399898093882636
0.046551923134634,0.0401128751109972,0.0565547686829685,0.0339391886539398
0.0358315176873795,0.0363729118506671,0.071594875462437,0.051627486475457
0.0203563402292742,0.0352400848514976,0.065143524706202,-0.00434885640622715
0.0753505338295343,0.036453247008864,0.0190197951227895,-0.012048940630417
0.0803677781648024,0.0311576577462369,0.0394099553892992,0.0320018828444844
0.0772914039901128,0.0266085959514846,0.0653717003322886,0.0352361220563122
0.0856494432050302,0.0234221049257614,0.0522546505412208,0.0499736264540558
0.103487557971353,0.0233593954082489,0.0547363067641906,0.0503504245522913
0.0631379385841264,0.0297735884258293,0.0710227943271462,0.0530870065006938
0.0867868082570287,0.0300847965498635,0.0682511425367397,0.0496295232367758
0.0863585807896698,0.0269253981846138,0.0476864151802041,0.0423410517262926
0.0633604777336903,0.0204211611002312,0.0463571260406995,0.0484504506455507
0.0593420642649917,0.027403730695354,0.0442688227184419,0.0386269224121641
0.0594774794609919,0.0265819074546195,0.0605272320609241,0.0480301571495916
0.0346100948134295,0.0137989182306335,0.039867448481272,0.0479291626041442
0.0501014813725815,0.0187594132313226,0.0440985200487856,0.0457984224129094
0.0823948503079009,0.0176881704634155,0.0554501283831677,0.0576666384802242
0.0656609682022716,0.0197091258447775,0.0243359190709493,0.0582927893642686
0.0942695641281512,0.0271505516863067,0.0454621080679073,0.0308697478103308
0.0694587848057851,-0.00132481077561875,0.0419550076004218,0.00832696565415459
0.071286484168674,0.0291261262100194,0.0488365258383086,0.0336280748806598
0.0551785087891882,0.0383907297058131,0.0515061501916342,0.0127890550549344
0.0832524711022827,0.0423730809278382,0.0573579908478889,0.0646222336571804
0.0973103144226408,0.00370349522410496,0.0507560802368079,0.0356287906018038
0.115833414902625,0.015019276893407,0.0395023068264903,0.0604380550369623
0.0778720595317267,0.0132664788923741,0.0512300702568086,0.0506042799061725
0.0482368296411892,0.0348998236294603,0.0581512553484038,0.0633725693604958
0.0616510659514246,0.0139463398187181,0.0599777266789592,0.0576003565395435
0.0665898130118277,0.0460502334781737,0.0583864295997723,0.0597627888449101
0.0602732467995653,0.0222545561214804,0.0578479438268157,0.0409137832464429
0.0883496426839458,0.0412431194568963,0.0723050783616393,0.0487020795495442
0.0841569265144804,0.0366695210492529,0.0423124449773952,0.0709678329937748
0.0687215925742897,0.0173356094615041,0.0160187089916711,0.0629035529697212
0.0810764750389063,0.0202400688504684,0.0297186375092668,0.0495616159690749
0.0787462819698556,0.0115733358388002,0.0321609206403626,0.0589050475969215
0.067642287370615,0.0449456227913194,0.0514466401742905,0.0256246963082753
0.079678163353251,0.0323848916747576,0.0675601692479979,0.0364431952632842
0.0736395928622022,0.0143494955141595,0.0465281640791899,0.0527569744485731
0.0746444773122412,0.022756760350989,0.047423911844478,0.0456691158093095
0.0925408431340479,0.0219153221759374,0.0807188728805362,0.0426772972702902
0.0671419620710027,0.00208486883429193,0.0312293680810658,0.0428474224522819
0.0963932820322638,-0.0110606539243466,0.0376553646934878,0.0134436864817083
0.0856442647539306,-0.00838619924818757,0.0585595336594952,0.0169009885534211
0.0515361567451874,0.0131078496519654,0.0535824220545469,0.0320917883980766
0.0527295705888617,0.0350731029451855,0.0547188728365982,0.0097535904302716
0.0565451878442634,0.0167479583964983,0.0621373912440019,0.0296123184281537
0.0295390603948262,0.00564174109615812,0.0498262685925121,0.0534443961511086
