"genus_species","Family","mating_system","Haploid.Chrom.."
"Abrotanella_emarginata","Asteraceae","sc","9"
"Achillea_atrata","Asteraceae","sc","9"
"Achillea_clusiana","Asteraceae","sc","9"
"Achyrocline_satureioides","Asteraceae","sc","14"
"Adenocaulon_bicolor","Asteraceae","sc","23"
"Adenocaulon_chilense","Asteraceae","sc","23"
"Ageratina_adenophora","Asteraceae","sc","51"
"Ageratum_conyzoides","Asteraceae","sc","20"
"Ainsliaea_apiculata","Asteraceae","sc","13"
"Ainsliaea_fragrans","Asteraceae","sc","13"
"Anisocarpus_scabridus","Asteraceae","sc","7"
"Anthemis_arvensis","Asteraceae","sc","9"
"Anthemis_maritima","Asteraceae","sc","18"
"Aphanostephus_skirrhobasis","Asteraceae","sc","3"
"Arctium_minus","Asteraceae","sc","18"
"Argyranthemum_filifolium","Asteraceae","sc","9"
"Arnica_montana","Asteraceae","sc","19"
"Artemisia_biennis","Asteraceae","sc","9"
"Asteriscus_aquaticus","Asteraceae","sc","7"
"Asteriscus_intermedius","Asteraceae","sc","7"
"Asteriscus_sericeus","Asteraceae","sc","7"
"Astranthium_beamanii","Asteraceae","sc","12"
"Astranthium_integrifolium","Asteraceae","sc","4"
"Astranthium_laetificum","Asteraceae","sc","10"
"Astranthium_robustum","Asteraceae","sc","3"
"Astranthium_splendens","Asteraceae","sc","9"
"Balsamorhiza_sagittata","Asteraceae","sc","19"
"Bidens_bipinnata","Asteraceae","sc","36"
"Bidens_biternata","Asteraceae","sc","36"
"Bidens_cernua","Asteraceae","sc","12"
"Bidens_cosmoides","Asteraceae","sc","36"
"Bidens_discoidea","Asteraceae","sc","12"
"Bidens_frondosa","Asteraceae","sc","24"
"Bidens_hillebrandiana","Asteraceae","sc","69"
"Bidens_molokaiensis","Asteraceae","sc","36"
"Bidens_pilosa","Asteraceae","sc","36"
"Bidens_radiata","Asteraceae","sc","24"
"Bidens_sandvicensis","Asteraceae","sc","36"
"Bidens_subalternans","Asteraceae","sc","24"
"Bidens_tripartita","Asteraceae","sc","24"
"Bidens_wiebkei","Asteraceae","sc","36"
"Blennospora_drummondii","Asteraceae","sc","11"
"Brachyscome_muelleri","Asteraceae","sc","3"
"Calendula_arvensis","Asteraceae","sc","22"
"Calendula_palaestina","Asteraceae","sc","36"
"Calendula_tripterocarpa","Asteraceae","sc","15"
"Callistephus_chinensis","Asteraceae","sc","9"
"Calycadenia_hooveri","Asteraceae","sc","7"
"Carduus_acanthoides","Asteraceae","sc","11"
"Carduus_nutans","Asteraceae","sc","8"
"Carduus_pycnocephalus","Asteraceae","sc","31"
"Carduus_tenuiflorus","Asteraceae","sc","27"
"Carthamus_curdicus","Asteraceae","sc","12"
"Carthamus_dentatus","Asteraceae","sc","10"
"Carthamus_gypsicola","Asteraceae","sc","12"
"Carthamus_lanatus","Asteraceae","sc","22"
"Carthamus_leucocaulos","Asteraceae","sc","10"
"Carthamus_nitidus","Asteraceae","sc","10"
"Carthamus_tenuis","Asteraceae","sc","10"
"Carthamus_turkestanicus","Asteraceae","sc","32"
"Catananche_lutea","Asteraceae","sc","9"
"Centaurea_amaena","Asteraceae","sc","9"
"Centaurea_melitensis","Asteraceae","sc","12"
"Centaurea_sulphurea","Asteraceae","sc","12"
"Centaurea_tchihatcheffii","Asteraceae","sc","10"
"Chaenactis_douglasii","Asteraceae","sc","6"
"Chaetanthera_moenchioides","Asteraceae","sc","13"
"Cirsium_acaule","Asteraceae","sc","17"
"Cirsium_brevistylum","Asteraceae","sc","17"
"Cirsium_erisithales","Asteraceae","sc","17"
"Cirsium_oleraceum","Asteraceae","sc","17"
"Cirsium_palustre","Asteraceae","sc","17"
"Cirsium_purpuratum","Asteraceae","sc","17"
"Cirsium_quercetorum","Asteraceae","sc","16"
"Conyza_ramosissima","Asteraceae","sc","9"
"Cotula_australis","Asteraceae","sc","18"
"Cotula_coronopifolia","Asteraceae","sc","10"
"Crepis_tectorum","Asteraceae","sc","4"
"Cynara_cardunculus","Asteraceae","sc","17"
"Damnamenia_vernicosa","Asteraceae","sc","54"
"Deinandra_arida","Asteraceae","sc","12"
"Deinandra_mohavensis","Asteraceae","sc","11"
"Dendroseris_litoralis","Asteraceae","sc","18"
