"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","p"
1,0.0450991869860907,0.0508258509989088,0.0139824318239898,0.0132550024476272,0.00920065583495595,0.0233563105674718,0.0209507404357885,0.0665971560740687,-990.070457686327
2,0.0211314775591004,0.0425612612914025,0.0115287245550617,0.0104728087069854,0.00876134535433211,0.0163082551692227,0.0286401822967231,0.0136573204985514,-962.336379217804
3,0.0169742823610252,0.0375355700210791,0.00820330486054734,0.0183458734439427,0.00920865339973074,0.0163869151129982,0.0261894502484342,0.0243785437040863,-947.519553061021
4,0.0153787597582567,0.0341518052629924,0.00758829631624163,0.018459651292336,0.0118144731068843,0.0136975992753842,0.0125649391376349,0.0267881292660162,-941.537458939211
5,0.00751201093855429,0.0312864809391577,0.00305618361644199,0.0237323706441475,0.00924219470482258,0.0174973275023482,0.0136164309731715,0.0147342129328021,-936.135412144473
6,0.012936302943772,0.0137694841397306,0.00204418735163669,0.030653687425604,0.0103212292449071,0.0125585838590835,0.0183622696605951,0.0334514155834901,-939.224676509182
7,0.0162899454737126,0.0205620855186246,0.00388271544459899,0.0221495759535499,0.0118925761471319,0.0129343614804986,0.0149869093572458,0.0308700019015572,-937.088072043454
8,0.0121337049152036,0.0203013833426888,0.00372467317384209,0.0241795742642773,0.00991423033518226,0.0190735067438066,0.019504310885528,0.0264651778998311,-934.227145716502
9,0.0130736241482115,0.0220485639407608,0.00378003137986142,0.0184452945168446,0.0098651820458298,0.0164113259036927,0.0213841214886433,0.0270516863723709,-935.432820264834
10,0.0117593660464911,0.0206138544845594,0.00618086833161952,0.0339186358981583,0.00938114529981214,0.0152326384255185,0.0230162192451288,0.021686069745911,-938.116605834261
11,0.0112474607656964,0.0174733549353395,0.00600999269487397,0.0211265070510662,0.0110770148900602,0.0201301987673209,0.0150054616633843,0.0209861980141707,-935.261121846159
12,0.0197945208569563,0.0241438718676473,0.00396410414110818,0.0264997688619889,0.00995704003923417,0.0202099404694432,0.0180756895040644,0.02497859982912,-937.319781304784
13,0.0118211662692197,0.0192287669270697,0.0083064686240596,0.0249809914678042,0.0101351032905367,0.0141221130140447,0.0155929921068477,0.0142483345058875,-936.050160029961
14,0.0103977096265938,0.0209875970339039,0.00868861408157051,0.0211437033812253,0.0113177390078617,0.028570214342667,0.0155390846188016,0.0244157169367245,-937.916581157674
15,0.0166676249207376,0.0226901626912276,0.0074139101230952,0.0206267488061872,0.0109420660354502,0.00857887269943267,0.0190440961838355,0.0233460509098207,-939.275887305171
16,0.00700041638238055,0.0351176862454596,0.00158392269180962,0.0248582341937732,0.00931207070487454,0.0136980052866882,0.0163271188072918,0.0140733554406638,-938.348028775305
17,0.010016561590085,0.0290160295666947,0.0056387520280539,0.031715859874638,0.0100803620298279,0.0159615474500413,0.0155191061474616,0.0223672395963338,-936.199415749892
18,0.00427416609106761,0.0337957553514234,0.00117346591062425,0.0217396887452541,0.0114896950298781,0.014099458830693,0.0184548247294129,0.0203938597351054,-937.336684866006
19,0.00484890080583862,0.0304725712773986,0.00184876418354511,0.0284345186983448,0.00754425339775836,0.0178623366704545,0.0167976166689991,0.0166157271839796,-938.547260158621
20,0.010260252155748,0.0160704221532709,0.00254093980432615,0.0305315287424154,0.0102846827072709,0.0197831226121299,0.0161622805825158,0.016960376008884,-935.919121040947
21,0.011941379288246,0.0265601197345156,0.00784319096550902,0.0328601449833117,0.00944657457977938,0.0186072108120728,0.0165613626772371,0.0261776487082306,-936.807344375462
22,0.00615154623949088,0.0203093383720833,0.00662416395133424,0.0359330614934825,0.0114215593574398,0.0208897441776956,0.0191285052666926,0.0367727142687054,-939.325823264112
23,0.0104338685308472,0.0207608708052636,0.00187814022488076,0.0188420779039467,0.00898120916544905,0.0212606513442785,0.0221957333731454,0.0277746566403673,-936.776948481768
24,0.0215458765648106,0.0159900723018873,0.00304203732334931,0.0198481189825458,0.00736821716010907,0.0221328108638677,0.0223865265538745,0.0293158403869461,-940.596465340384
25,0.0106504415965529,0.0299692058241786,0.00217958845695759,0.0152167659699822,0.0117653923391574,0.022112413107081,0.0180756104555566,0.0271865590670946,-937.116405326944
26,0.0140509562161178,0.0273191908840299,0.00432257845830215,0.0261674513064444,0.00845904319383988,0.0171858249571185,0.0242634820126119,0.0364216069222006,-939.393165736687
27,0.0162448239323253,0.0181950921819549,0.00654409925684131,0.0241658478018057,0.0119940086755516,0.0207857758844955,0.0203474463782324,0.0314979604299493,-937.548030969337
28,0.0134337509695035,0.0219709912598619,0.00272985351780916,0.0202008339268135,0.0102279806671615,0.0132327737523825,0.0241427554989895,0.0271297968096228,-937.401707720824
29,0.0129016662846285,0.0217436035829823,0.00565892946312788,0.0156261100467358,0.0107560574712869,0.01605126101515,0.0128571756409175,0.0193509558610077,-935.812349554315
30,0.0119878884837071,0.0213074791854794,0.00488155132874049,0.0327390742696026,0.00817242115417116,0.018228259980946,0.0173775326541723,0.0245463901384859,-935.33890203086
31,0.0133106349887344,0.0213854481439236,0.00495499907629677,0.0353171382344465,0.0123120683278163,0.013621743733961,0.0205715925496003,0.0230658566439407,-937.386091756646
32,0.00754266365181255,0.022242807481055,0.00359532426133249,0.0378466925668168,0.00892647848188557,0.0125473521565045,0.014237154735414,0.0198144822025056,-938.315566375631
33,0.00546661655156189,0.0256555183978767,0.00853336275488888,0.0214601272384601,0.0157804782736252,0.017708381722761,0.0148373637249839,0.0181302761004171,-938.024724367503
34,0.00149099991964922,0.0243528559050778,0.00750212759376751,0.0416451872884292,0.0171126334731861,0.0198268019962524,0.0199486715076402,0.0204558078378093,-946.465822469445
35,0.00155125513510289,0.0226438080129522,0.00703481471432796,0.0136892738409616,0.00758730433510039,0.0212928517324136,0.0159171857091443,0.0231427330641045,-944.986692075578
36,0.00778485779774302,0.0245861986917033,0.00297018220905188,0.0418522367724134,0.0148389918083946,0.0132631274652623,0.0172168002074436,0.0228698234974865,-940.109163174788
37,0.0105216477785934,0.0177844800317048,0.00643729471638542,0.0390056827990527,0.0081057395346419,0.0211544683278298,0.0132015795839417,0.0195316842801626,-938.439073416332
38,0.00889189966406831,0.0184358597993398,0.00824668497375694,0.015820787597445,0.0122354404840857,0.0134650162224761,0.015074967482646,0.0176256718752104,-937.836555756273
39,0.0136346427595382,0.0215839158577353,0.00657778356851973,0.0275177879928057,0.00693306373168042,0.0198818643286041,0.0137131690188489,0.015427211268305,-937.353005514006
40,0.015368239541378,0.0213116127090442,0.0031244411145594,0.0255553586574304,0.0101333930345122,0.0146930479716868,0.0135266221361144,0.0135869724198847,-935.778801445547
41,0.0117888650672892,0.0273348455839557,0.00216545776525561,0.0237974741067696,0.0100923246548494,0.0201376497668075,0.0195982914980296,0.0191058368305028,-935.818198672484
42,0.00648568165352686,0.0339266583099362,0.00157256880512613,0.0228851860401509,0.0126162309304867,0.0181777174274736,0.0107662098687522,0.0200680857214599,-938.98512703198
43,0.0126649085410271,0.024606083814123,0.00450153973616497,0.0214464577489654,0.00842117956315701,0.0188792474533411,0.0227523475725666,0.0289234862182412,-936.740688967511
44,0.00878169643117363,0.0281096611499131,0.00436811113681679,0.0327857133486403,0.0127686222019925,0.0168868297073683,0.0163030265696958,0.0285726685581929,-937.085521509595
45,0.00735505427928498,0.0239848630921596,0.00467409383460368,0.0362170259401278,0.0140292534241892,0.0214647041086423,0.0128633775252001,0.0307458524059278,-941.288070170297
46,0.0114131738253385,0.0235964764800913,0.00817234594181854,0.0123219869085539,0.00933508003271563,0.014412481356516,0.0192960865266435,0.0298409133843443,-937.904800622598
47,0.0114957343144936,0.0284530362064756,0.00361322677065157,0.0239738841139136,0.016008580933259,0.0225721007565639,0.0198523972744731,0.024990617423167,-939.48916600817
48,0.00724844458187566,0.0289094496781756,0.00828698508744044,0.0225552764661609,0.00887748294045448,0.0184107805299391,0.0138242404077693,0.0232694983181103,-936.125927513241
49,0.0119368891502711,0.0182288177109409,0.00774190142002241,0.0191252805245785,0.0112989202660378,0.0195826438046003,0.0144769938128616,0.0228714153154442,-936.061386680064
50,0.0124836265654093,0.0217282172969191,0.00104731608125862,0.0273828211861125,0.00875396025989851,0.0149589785765993,0.0145000360805508,0.0181387007316292,-935.30435866025
51,0.0138066667242501,0.0220001105576352,0.00501904147211722,0.0260866175470834,0.0128746552923031,0.0181302124192244,0.0165530647669395,0.0281222349175141,-935.499269530619
52,0.00821795346041687,0.0298205696010453,0.00284068979076065,0.0299929292576508,0.0108229711035178,0.0143438230233638,0.0208456781211742,0.0248312172039673,-936.999835988885
53,0.0128008709452454,0.0287388733027144,0.00368117330545588,0.0159691077796466,0.00752955802285839,0.0161790749398906,0.0183797049301694,0.0165980561812613,-937.882220892222
54,0.00741668219545108,0.028625161308878,0.000616929418021834,0.0202152099374969,0.00959145786587495,0.020808802620779,0.0161893115551733,0.0211225431719168,-936.283723277184
55,0.0088560217112027,0.0235399068511211,0.00708178038907259,0.0212558773438973,0.0109708762328832,0.0204113239302522,0.0157931846298023,0.0188464864909999,-934.608420930012
56,0.0128668658884561,0.0200316673182188,0.00739545254402055,0.027352261499854,0.00870378153635871,0.0149678341018804,0.0200361073178908,0.0207515437695884,-936.201470386584
57,0.0168303645256481,0.0236189352838491,0.00627425716617161,0.0164805156214355,0.0127094422651613,0.0127428969174829,0.0235325798741762,0.0356515015483362,-940.514082161056
