"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","dem1","dem2","p"
1,0.00167463092660273,0.0249783938477686,0.0210911938085278,0.00199192953081975,0.0157121563164793,0.000817574091147807,0.0121089535248504,0.00595014415350046,0.00219015120573457,0.0289502774226758,-216.910883780019
2,0.00493141033936293,0.0177309167443505,0.0202649746524555,0.00657693985655946,0.0180753162067632,0.00122185018601325,0.0018168669630525,0.00400861292937923,0.0105690380110718,0.0257712218259219,-206.8699696262
3,0.00224503062370992,0.0235244740660755,0.0152971219053871,0.024441022917207,0.0151358697446012,0.00698975336711611,0.000832784085376534,0.00468968109064874,0.00430816671380755,0.0220020932406549,-201.630164190755
4,0.00469813895556028,0.0208992061081709,0.0102004293459173,0.0229349494055988,0.00975157469971902,0.00924870659669026,0.000313190778884587,0.00181016795644897,0.00527949989069394,0.0245626551362095,-200.628234410664
5,0.00282538986065188,0.0189178603514445,0.00753665528998662,0.0117640724508162,0.00855554518584922,0.00104336847950256,0.000339735816890095,0.000629622916241011,0.0036831317304351,0.0367750678545361,-199.984083644584
6,0.00217468604584511,0.0222695034644438,0.0162882227875655,0.0368230680723685,0.0184769864838745,0.00317537752405124,0.000559395928264034,0.00167189000001577,0.00467637742036817,0.0162138834644089,-202.409121468232
7,0.00372264005896572,0.0230720010902959,0.0186542428240767,0.0229469220608913,0.0106129891111574,0.014350469444193,0.000854059738801286,0.00387430129375587,0.00715800794520568,0.0090195488167057,-202.115920062359
8,0.0085481766559883,0.0203954634207557,0.00577551289384898,0.00582409203717399,0.0132647947477568,0.0143826257507392,0.000511346894010464,0.0148854788634422,0.00384616490159537,0.0239799342248408,-201.445908920065
9,0.0093552357829939,0.0222949874431684,0.00184962281744199,0.00326143305324626,0.0129645013004053,0.0178578735835237,0.00120338965000253,0.011300788394556,0.00275521029362623,0.00425709484485619,-201.012319632804
10,0.00541015494697578,0.0186038066311788,0.0120183096899224,0.00471258039743037,0.0139682601431263,0.00229291812650025,0.000297529155425976,0.0394784342477807,0.00535682938546015,0.00768101436786399,-200.532715998575
11,0.00325449048068149,0.0179705032442944,0.0305942458614095,0.00858352849744812,0.0149877303940357,0.0141854219414387,0.00064598635444372,0.0341066945105984,0.00635044475201561,0.0155934560160285,-204.218148584611
12,0.00552272400626195,0.021933114786466,0.0037819191147089,0.000563584115554814,0.00983963707942088,0.0086426363220183,0.00190395523140404,0.0122134784003216,0.00435177719685574,0.0132273190070447,-200.29023549928
13,0.00226672081665456,0.0200090019343038,0.00397405046504528,0.00200924329658716,0.0124405727500272,0.00596975813483337,0.000122273291613886,0.0151049153134076,0.012191975626315,0.012791766117641,-202.927131165522
14,0.00177749656347861,0.0179567377774629,0.0012927660255384,0.00555955933359611,0.0165284244170026,0.01124087034634,0.00019355518444475,0.00698411042762007,0.00692357083504443,0.00337023907753464,-199.012084624817
15,0.00477442769923651,0.0199271514044146,0.00223424203413183,0.000795959951156651,0.0121724815610996,0.00160037575791944,0.000604621681995757,0.0108817276182213,0.00686012568704436,0.00938885961902055,-197.975405958286
16,0.00219367937396525,0.021236559587112,0.00259486541597008,0.0201666434875195,0.0167969474293775,0.00211821884104152,0.00125557280007687,0.00318812692371255,0.00376830579637475,0.0054379333432175,-199.26134057338
17,0.00526574890881701,0.021408787183789,0.00347658891965874,0.00467397317619548,0.0182931788618111,0.00699116872968833,3.10437470840971e-05,0.00645897911081789,0.00419900379785785,0.00125575572268859,-197.469899526494
18,0.00179625584524934,0.018052513785785,0.00298248343825371,0.00537716729560038,0.011186652780868,0.0105056718442028,9.66883690058879e-05,0.00997816994595091,0.00591859912781074,0.055610895460405,-202.045797088024
19,0.0043764901048831,0.0185775634459791,0.00172064768855815,0.00026651236654583,0.0162126338429071,0.00834373948793871,0.000666235672316252,0.0125854202686988,0.00257530834054401,0.0162326830132042,-198.946582037861
20,0.00421830192135293,0.0255810396512119,0.000410211263208816,0.0331901726757825,0.0155517442963863,0.00156029546796199,0.00188244746411132,0.0171780995621261,0.00449414173296615,0.0129566800595688,-202.682683013364
21,0.00444801135920538,0.0211076821672611,0.0126600199716811,0.0137663600653996,0.0101829789037151,0.00219819262540667,0.0010100200489866,0.00357819105587081,0.0086883321724908,0.0166343083343497,-201.923699565054
22,0.00262947166804439,0.021446755510972,0.00976231841214358,0.00198001118424158,0.0143247936953888,0.000197040463478671,0.00082981174380011,0.0029780792334315,0.00764866626343807,0.00791966878091075,-198.725823510312
23,0.000924672927550698,0.0206778411814335,0.0122347059203953,0.0104477686273317,0.00996804614027615,0.00386070530873914,0.00129860136435749,0.0169420427695849,0.00298403122968126,0.00753408754274747,-201.696927046103
24,0.00161078895469926,0.0242155893701484,0.00133152478433201,0.0077573582513514,0.0119534540098658,0.00293340613661745,0.000384356519231248,0.00949449482556233,0.00354322179316914,0.00233115610782402,-197.228706925562
25,0.00504143569732174,0.0220625897335632,0.0042596454661919,0.00765177587403579,0.0155489259969797,0.0107114220393385,0.000372323804981115,0.00860818293425993,0.00321559567969137,0.0120034853367308,-198.575656481486
26,0.00279613123356741,0.0173705356818171,0.00862063438884141,0.00419884437749188,0.0105206628318316,0.00100235543142961,2.28611226659133e-05,0.0073957775260588,0.00454787292348881,0.00131485715359133,-196.35590685105
27,0.00545995596523789,0.0185397221048893,0.0105759896475273,0.00417068579381247,0.0110322303730565,0.0209538848830318,0.000116402359298468,0.0478354209554162,0.00218310022832675,0.0123622102856832,-202.834168426667
28,0.00603759558042732,0.0229240592157083,0.0111804201043007,0.0105120314140052,0.00700685223177198,0.0187158979457536,0.00119427673047405,0.0510202874617932,0.00217950883855499,0.0131514255532723,-207.048460292982
29,0.00568283877508687,0.0205122468359089,0.0188509732645612,0.000174245074608914,0.0175752427478291,0.00669519355710639,0.000790532170531056,0.0138796625339563,0.00669434400384407,0.0147412137098361,-201.851693559893
30,0.00235821311096301,0.0200038691857461,0.0137999910626017,0.00283933498067732,0.017362583515852,0.0132831514424662,0.00187256209234467,0.0122375737262809,0.00597513330817218,0.00454407600907028,-201.825036339716
31,0.00219891247546101,0.0244974034528836,0.00756739168245063,0.000820928155099342,0.0171915678528444,0.0186745157906045,0.00259778134124491,0.060818770519884,0.00422273907500353,0.00444137943588603,-205.71905006144
