"i","asc1","desc1","asc2","desc2","pol1","pol2","tran12","tran21","p"
1,2.10903027040131,0.22043417035814,0.0297118903474638,0.355422104937453,0.0570342819774986,0.214232624301682,0.0272735898704503,0.170480254330945,-2110.6880218304
2,1.00360431144034,0.215100829106297,0.0230790668556516,0.273375340258584,0.0591417594035335,0.122651386353539,0.184066837967596,0.161851903123181,-1853.36325966526
3,0.787546036581779,0.133415940190208,0.021016035528461,0.0557932621455798,0.144671031423133,0.119645354372769,0.280783156380982,0.152038428311582,-1819.87779017345
4,0.446035229491743,0.472660270786182,0.00540235541851796,0.0684490017392955,0.137335859742007,0.0295746011173859,0.210780727709823,0.152638462926197,-1751.02138143495
5,0.425215675022662,0.593718899329544,0.0071634312044973,0.0703833210038958,0.159879843699424,0.0290634340074879,0.280079149793389,0.1481078946478,-1748.74034151456
6,0.427516366959318,0.523601384018895,0.00348348011393001,0.0271288052283898,0.166607756275936,0.0275323352385159,0.273291202921522,0.158359787236313,-1742.45458109467
7,0.299275055513552,0.60260305988038,0.00517117889715061,0.0160382170452204,0.146217396229228,0.0199659158327453,0.273404866658517,0.164314042792734,-1726.51426609582
8,0.0921375293423296,0.574505269717687,0.0123206375070851,0.0160613645049745,0.156757950099281,0.0208606513921575,0.294665227149412,0.173302929650101,-1713.28810862225
9,0.0502726156369212,0.60208128410015,0.0129273003701796,0.00960104626284907,0.19919519245424,0.0217460841185344,0.292048761378644,0.149884681476171,-1711.78400878566
10,0.0333633500188976,0.612682120304629,0.00795799248888652,0.0118473172550611,0.170784168934562,0.0211503880907245,0.249476167658913,0.163768869385044,-1712.47496111105
11,0.120582241118088,0.592882186682785,0.0162968585640035,0.00696175342743356,0.159488314991006,0.0173056728419004,0.254704703706274,0.151925923183038,-1714.9445553987
12,0.0209110813438924,0.601546846345624,0.0128767772574374,0.00616823523418426,0.175113024526759,0.0153430354516581,0.279689430103485,0.155325893694119,-1712.5132068213
13,0.110606549350715,0.663485688827027,0.00675080303794233,0.028420364432182,0.192071124193973,0.0227448566402734,0.282293398300549,0.13171252094909,-1716.68414704361
14,0.0349124011738121,0.632159593247776,0.0130287753985059,0.0218508846870831,0.176254455644645,0.0307067576606667,0.271794722141786,0.173358911064653,-1715.13788647707
15,0.0172967755343992,0.616865898136568,0.0160281725622944,0.0211815872294166,0.175940791506091,0.0206757135804829,0.284989929130938,0.158077958619223,-1712.61806124458
16,0.0342099309327146,0.679159340344134,0.0153239274267141,0.0146259133504607,0.20159069825856,0.0173388354511056,0.294019750065645,0.146901786702827,-1712.39198635691
17,0.0308361310911073,0.684555121220803,0.0102959303920606,0.018159847634044,0.188539164471707,0.0174793709875105,0.225341099501028,0.143092178792384,-1713.72313762397
18,0.0511210744510957,0.681359967758359,0.0144918173533036,0.0163518431723859,0.174838157874925,0.014813946512197,0.272853848841704,0.154767742462223,-1713.11523874393
19,0.0987164973488458,0.56347980194863,0.0110171397265779,0.0184406825242901,0.188391597990757,0.0200955084668743,0.306958062100081,0.156209319810999,-1713.22394029787
20,0.0324068154731229,0.625945283522027,0.0189182051563608,0.016173459090926,0.174831088475022,0.019076451293416,0.257861904917385,0.140185858623072,-1712.05298373618
21,0.0628882465369529,0.618201766196106,0.0157105121208961,0.0113977213441705,0.164411066643883,0.0188557662095579,0.280573203808393,0.169851188141635,-1712.35153345283
22,0.0808758302067275,0.692653837463032,0.0099544567136133,0.0163938740305662,0.197767794110818,0.0205856398703827,0.285583694306452,0.149121648224133,-1713.05237301551
23,0.0165540324269038,0.635110057937498,0.00767220165251899,0.0184497277117569,0.218936868217616,0.0187205718198171,0.320924896727635,0.149133470442584,-1714.68812537976
24,0.0349586191662355,0.560693720804011,0.0254699701519664,0.0120940914880802,0.17867793700994,0.0151281606799903,0.256909734820034,0.155718683164432,-1713.78800893175
25,0.0700580068190982,0.526964547779992,0.0133646341887673,0.00982333751370006,0.173944966415549,0.0174314615300086,0.286066126038911,0.155859711325676,-1712.52686832402
26,0.0334166720080596,0.611566791501602,0.0128255493544959,0.0235728717403161,0.20375205069272,0.030069381006572,0.291334480217081,0.167373655082522,-1715.60023808149
27,0.0686609654165801,0.690893775001662,0.0138783225883689,0.00949461817176933,0.19362601523961,0.0140635264055025,0.27834656469751,0.149568097673062,-1713.14723040279
28,0.122849257150995,0.68541954863068,0.0133338435403185,0.0170819783381617,0.165883749418841,0.020345792896971,0.212927647323224,0.130371775030678,-1716.44761443156
29,0.0013023454018755,0.547977346145374,0.00768994794637466,0.0104007210093672,0.19851621184929,0.013864909225908,0.205669123219059,0.132769048685821,-1718.8765030912
30,0.0690858143284254,0.615818046761697,0.00710251418348636,0.019289708279195,0.208449890231008,0.0118673909118619,0.256080736421673,0.1292806680242,-1714.43819835285
31,0.0385785972946682,0.637505227667403,0.012701988386902,0.0180908189449643,0.198023489166449,0.0222030690904923,0.320286445602196,0.12898037864281,-1715.37753337553
32,0.0339785592846539,0.612836073779143,0.0147350261040747,0.0140649027396889,0.168265419597008,0.0198326610972418,0.259200068697872,0.153241718870293,-1711.46159928789
33,0.0585315494917907,0.577235792594904,0.0210270576304397,0.00861708174119876,0.158749195514073,0.0237442854197218,0.262727109305476,0.154803588302523,-1713.40018668545
34,0.0663857082172009,0.51109133305472,0.0195176389390578,0.0117427286614558,0.165659825937912,0.0156835061448064,0.244304053269006,0.132831097322572,-1714.7462078069
35,0.0162107251324723,0.591508278791416,0.0148755811791109,0.0157816674257214,0.19248515742206,0.013044993908352,0.272082419511177,0.155709205623028,-1712.55857021004
36,0.0397533713072767,0.662128928456573,0.0134586342156604,0.0129581752088528,0.182938808616973,0.0217784882232841,0.285062478183839,0.158453541918619,-1711.81735779197
37,0.111166705696585,0.654238696611695,0.0152514832390809,0.0206721486290941,0.199618785840339,0.0177420449271901,0.294478688367691,0.177503351604815,-1715.72167865875
38,0.0102225453268567,0.657803931637272,0.0168649318730083,0.0102311967697056,0.185141884843373,0.0217648810756737,0.292459220873245,0.149792036169697,-1712.96760289168
39,0.106158109072064,0.631283111838851,0.00571096281903248,0.0139386352719279,0.191525008614589,0.0132262605196704,0.275274287055584,0.125317458147093,-1715.31115421368
40,0.106969826195598,0.697347927263855,0.0150271026666738,0.0183121273103873,0.224859945548768,0.0152814781518587,0.293153445429499,0.150222206790571,-1716.14641000322
41,0.0257631908580886,0.65192714388657,0.0076304172516997,0.009560443328933,0.213605933720206,0.0189020477199409,0.317699305166151,0.159049056319338,-1713.20543730564
42,0.0247528647957457,0.65004262776491,0.0157777577371031,0.0279227149992927,0.207659101242235,0.0166776026616794,0.307721455768062,0.178902432751688,-1715.50383506884
43,0.0142666341962565,0.680503784146865,0.00609578719544373,0.0143165507661334,0.202206740794727,0.0155406063104213,0.301313456230424,0.127978536799216,-1716.11149859553
44,0.0574097366291527,0.653752243329689,0.0177241929076079,0.0157484975734363,0.170121303787998,0.02343126017838,0.203654119007032,0.120503676706298,-1715.09899741938
45,0.0288580675117654,0.516890124256101,0.0254199035239686,0.0230678719885078,0.168253150201824,0.023379622130435,0.230059192099548,0.163562395075881,-1716.74178069702
46,0.0932030589996425,0.631545904129736,0.0136219115477723,0.024315551519456,0.153097326487456,0.029931891902227,0.2405965301276,0.140616359502535,-1715.38710678354
47,0.0337706677504757,0.558881571684231,0.0195468987332977,0.0119896652531574,0.180183000341024,0.0110538213303931,0.241002229020227,0.142130077783426,-1714.2839953574
48,0.0283876731115337,0.564177477264505,0.0101116983679277,0.0109683121096925,0.201197530812916,0.012263102555948,0.292775961207881,0.169964512299377,-1713.2010092369
49,0.0236774025076095,0.707900303407832,0.0103932339702243,0.0226771253879769,0.196396017906734,0.0223311579800415,0.296223134731734,0.168480858772862,-1714.63600733128
50,0.0632187557578752,0.639944450640869,0.0105393758521335,0.0169713622711482,0.185994131207209,0.0148027372741226,0.250864894156372,0.147004266075684,-1711.96571168635
51,0.0370056938160537,0.610709345203521,0.0084693945088367,0.037939003864292,0.182804552995366,0.0294626935135145,0.299441603453895,0.169187224621517,-1717.49705416278
52,0.0530972188830895,0.600395766793508,0.0115105748739534,0.00963763829450643,0.167559662473584,0.0173345632416974,0.247785266273907,0.177156801092946,-1713.59323847691
53,0.0491587164770027,0.534247434212868,0.0184587362483141,0.0141853119292276,0.171566583703655,0.0176234480883319,0.281164900602508,0.148357449937013,-1712.62844273478
54,0.0437029859857082,0.673320259583228,0.00432311474816638,0.0297502341675499,0.206623447027367,0.0164380425507326,0.262237571186894,0.138818279758164,-1715.53903169547
55,0.0622867383799961,0.592210399125712,0.0191731917387019,0.0399010750166511,0.210467986908793,0.0123002145789746,0.251515560671354,0.13628797714548,-1718.20891062088
56,0.0535766013511115,0.629602816672025,0.0159811660078538,0.0464641625463091,0.17071509551168,0.0239228120893372,0.276632082322672,0.157540944655856,-1717.82434419061
57,0.0427271413576425,0.655942374522001,0.00772528111276215,0.0465554977707484,0.174281845189845,0.0173363558765555,0.284894864779204,0.142491593701926,-1718.37055181557
58,0.0277364078873435,0.711050381106421,0.0127502394850742,0.0208307424134174,0.223024813141151,0.0197493132569475,0.285712854537174,0.138426029362778,-1714.6890717321
